Customer_names,Brand,Model,Engine_size,Fuel_type,Year_of_manufacture,Mileage,Price,purchase_place
Rohit Pillai,Kia,Swift,1.4,Petrol,2015,21376,17676,Rajajinagar
Rohit Sharma,Toyota,Seltos,1.4,Petrol,2009,45501,10294,Rajajinagar
Shalini Deshmukh,Tata,Innova,1.8,Diesel,2001,136434,5723,Indiranagar
Vivek Mishra,Mahindra,Seltos,1.4,Diesel,1997,143629,3453,HSR Layout
Manoj Verma,Tata,Innova,1.4,Hybrid,2007,70850,13832,Indiranagar
Vivek Pillai,Toyota,i20,2,Petrol,1996,152905,3988,Basavanagudi
Shalini Iyer,Kia,Harrier,1.4,Petrol,2011,86986,9183,HSR Layout
Divya Gupta,Kia,Innova,1.8,Hybrid,1999,133179,5825,Malleswaram
Suresh Pillai,Tata,i20,1,Hybrid,2017,61406,18641,Indiranagar
Neha Patel,Honda,Creta,1.2,Petrol,1992,164754,1276,Basavanagudi
Sanjay Reddy,Mahindra,Creta,2.6,Petrol,2012,50831,56598,Koramangala
Manoj Reddy,Honda,Baleno,1,Diesel,1990,165601,1063,Hebbal
Meera Mehta,Mahindra,Innova,1.6,Petrol,2018,48912,20153,Rajajinagar
Sanjay Mishra,Mahindra,Baleno,1.6,Petrol,1988,232124,641,Yelahanka
Aishwarya Mehta,Honda,City,1.2,Hybrid,2003,132954,5033,Rajajinagar
Meera Dutta,Mahindra,Nexon,2,Petrol,1999,108571,6236,Yelahanka
Pooja Menon,Toyota,Baleno,1.8,Hybrid,1984,69189,4023,Yelahanka
Ajay Mehta,Maruti,i20,1.8,Hybrid,1993,269022,1188,Malleswaram
Ravi Patel,Mahindra,Seltos,1,Petrol,2012,71202,13066,Rajajinagar
Manoj Verma,Maruti,Innova,1.4,Petrol,2019,15792,24419,Rajajinagar
Ravi Pillai,Tata,Swift,1.4,Petrol,2008,72528,9858,Whitefield
Suresh Kumar,Honda,Baleno,1.4,Petrol,2010,78582,8875,Malleswaram
Meera Rao,Toyota,City,1,Petrol,2015,50721,12567,Indiranagar
Shalini Choudhary,Honda,Innova,1.2,Petrol,2003,193538,2404,HSR Layout
Deepak Mishra,Toyota,Thar,1.4,Hybrid,1995,211518,2027,Indiranagar
Ajay Krishnan,Toyota,Swift,1,Hybrid,2018,42396,29182,Jayanagar
Shalini Kumar,Maruti,Seltos,2,Diesel,1999,173309,3895,Rajajinagar
Priya Verma,Toyota,i20,4,Petrol,1994,68786,12640,Jayanagar
Kavya Iyer,Hyundai,City,1.4,Diesel,1999,37630,7087,HSR Layout
Kiran Choudhary,Mahindra,Thar,1.8,Diesel,1995,115982,4258,Rajajinagar
Manoj Bhatia,Mahindra,City,2,Petrol,1993,154497,2911,Rajajinagar
Pooja Dutta,Mahindra,Swift,2,Hybrid,2016,68020,36083,Basavanagudi
Aishwarya Sharma,Tata,Nexon,1.4,Hybrid,1995,159374,2446,Rajajinagar
Vivek Menon,Mahindra,Thar,1.4,Petrol,2016,29581,21973,Jayanagar
Manoj Krishnan,Toyota,Creta,2,Petrol,2015,53960,17874,Malleswaram
Kavya Joshi,Kia,i20,1.4,Diesel,2017,21671,32139,Indiranagar
Rohit Patel,Hyundai,i20,1,Petrol,2005,116145,4092,Hebbal
Sneha Patel,Mahindra,Harrier,1.4,Hybrid,1994,93905,3810,Yelahanka
Manoj Gupta,Hyundai,Seltos,1.6,Diesel,2011,59014,17428,Basavanagudi
Kiran Verma,Maruti,Thar,1.4,Diesel,2016,46840,24563,Rajajinagar
Ravi Krishnan,Hyundai,Harrier,3,Diesel,1993,228095,2185,Indiranagar
Kiran Singh,Honda,Thar,4,Petrol,1996,222698,3550,Indiranagar
Meera Krishnan,Kia,Baleno,1.6,Diesel,2013,49387,22359,Jayanagar
Rohit Mehta,Toyota,Nexon,4,Petrol,1998,196518,7636,Malleswaram
Shalini Menon,Mahindra,i20,1.8,Diesel,2007,71648,13029,Basavanagudi
Manoj Patel,Tata,Creta,2,Diesel,2012,65035,21160,Rajajinagar
Suresh Reddy,Toyota,Innova,1.8,Diesel,2021,19231,48223,Rajajinagar
Kavya Pillai,Tata,i20,2.4,Hybrid,2016,31358,49640,Jayanagar
Neha Iyer,Maruti,City,1.8,Diesel,2009,126003,10591,Whitefield
Priya Choudhary,Hyundai,Nexon,1.8,Diesel,2005,203757,4233,Yelahanka
Kiran Menon,Hyundai,Nexon,1.8,Diesel,2016,38573,30936,Koramangala
Ananya Nair,Tata,City,1.4,Petrol,2005,67257,7045,Basavanagudi
Neha Choudhary,Maruti,i20,1.2,Petrol,2000,57497,4852,HSR Layout
Arjun Iyer,Maruti,Creta,1.2,Hybrid,2018,39046,26392,Basavanagudi
Ravi Reddy,Tata,Baleno,2.2,Petrol,2005,168569,7043,HSR Layout
Suresh Rao,Hyundai,Swift,1.4,Petrol,2005,104420,7668,Whitefield
Sneha Kumar,Mahindra,i20,1,Petrol,1995,220409,876,Jayanagar
Aishwarya Iyer,Maruti,Seltos,1.6,Petrol,1990,178443,1178,Basavanagudi
Priya Verma,Toyota,Swift,1.4,Petrol,2011,62733,12215,Jayanagar
Ajay Sharma,Mahindra,Creta,2.4,Petrol,1997,57146,9011,Indiranagar
Pooja Joshi,Tata,Innova,1.4,Diesel,2003,89280,7863,Hebbal
Neha Mishra,Mahindra,Innova,1.2,Petrol,2015,58525,13103,Jayanagar
Manoj Mishra,Kia,Harrier,1.4,Hybrid,2002,61839,10518,Jayanagar
Rohit Gupta,Hyundai,Seltos,4,Petrol,2022,4760,100738,Indiranagar
Sneha Verma,Mahindra,Swift,1.2,Petrol,1992,235483,793,Indiranagar
Pooja Sharma,Mahindra,i20,1.4,Diesel,2015,23623,27823,Jayanagar
Aishwarya Patel,Kia,Swift,1.6,Petrol,2016,45738,25411,Whitefield
Divya Sharma,Mahindra,Creta,1.8,Diesel,1994,124215,3170,Basavanagudi
Manoj Joshi,Kia,Swift,1.2,Petrol,2001,142471,3402,Yelahanka
Rohit Kumar,Honda,Seltos,1.4,Petrol,1997,142574,3348,Basavanagudi
Sanjay Deshmukh,Tata,Thar,1.6,Diesel,2005,118670,6494,Whitefield
Vivek Bhatia,Tata,Baleno,2,Diesel,1991,213862,1603,Malleswaram
Suresh Mehta,Kia,Thar,1.8,Diesel,1996,141921,3714,Malleswaram
Divya Bhatia,Tata,Seltos,1.4,Petrol,2003,103144,5409,HSR Layout
Neha Verma,Hyundai,Thar,1.4,Petrol,1998,222686,1272,Whitefield
Sneha Bhatia,Kia,Nexon,3,Diesel,2009,120071,15846,Indiranagar
Divya Nair,Toyota,Seltos,1.8,Hybrid,2020,13617,61946,Basavanagudi
Shalini Deshmukh,Toyota,Nexon,2,Petrol,2021,9503,40922,Indiranagar
Ajay Menon,Hyundai,Thar,1.4,Diesel,2005,122510,7350,Whitefield
Ananya Bhatia,Hyundai,Seltos,2,Hybrid,1990,124136,3484,Yelahanka
Sneha Deshmukh,Kia,Innova,1.6,Petrol,1999,53665,5512,Malleswaram
Divya Pillai,Tata,Baleno,4.4,Petrol,1998,87683,19147,Jayanagar
Ananya Rao,Kia,Harrier,1.4,Hybrid,1996,278179,1174,Basavanagudi
Divya Singh,Kia,Creta,1.2,Petrol,1989,38505,2620,Hebbal
Rohit Reddy,Toyota,Baleno,3,Petrol,2008,84361,25031,HSR Layout
Ajay Rao,Tata,Harrier,4.4,Petrol,1998,204279,7479,Yelahanka
Vivek Gupta,Toyota,Seltos,1.6,Diesel,2015,47338,24491,Malleswaram
Shalini Deshmukh,Toyota,Thar,1.4,Petrol,1991,116306,1902,Rajajinagar
Ajay Bhatia,Hyundai,Thar,1.8,Petrol,1994,290223,834,Rajajinagar
Ananya Bhatia,Tata,Thar,1.4,Diesel,1999,119479,3410,Rajajinagar
Neha Krishnan,Hyundai,Nexon,2.2,Hybrid,2008,78744,20649,HSR Layout
Arjun Nair,Kia,Baleno,1.6,Petrol,1999,190954,1927,Whitefield
Divya Rao,Kia,i20,2.4,Petrol,2018,31505,42717,HSR Layout
Divya Patel,Toyota,Baleno,2.2,Hybrid,1997,113086,7738,Hebbal
Kavya Mehta,Maruti,Innova,1.8,Hybrid,2012,79135,20692,Basavanagudi
Priya Mishra,Kia,Innova,1,Petrol,1993,235324,669,Indiranagar
Divya Pillai,Honda,i20,1,Petrol,2009,68618,7506,Indiranagar
Shalini Patel,Maruti,Creta,1.6,Diesel,2002,163599,4372,Rajajinagar
Ravi Reddy,Hyundai,i20,2,Petrol,2018,30793,25112,Jayanagar
Sneha Iyer,Hyundai,i20,1.4,Petrol,2018,21342,21593,HSR Layout
Sneha Patel,Mahindra,Seltos,1.4,Hybrid,1998,118891,4346,Indiranagar
Manoj Verma,Kia,Innova,1.6,Diesel,2009,130182,9664,Indiranagar
Suresh Pillai,Toyota,Baleno,1.4,Diesel,2009,81750,12947,Jayanagar
Kavya Rao,Toyota,i20,1.4,Petrol,1995,171227,1941,Indiranagar
Shalini Iyer,Tata,Innova,1.4,Petrol,2016,52798,15690,HSR Layout
Neha Pillai,Honda,Baleno,1.4,Diesel,1999,244231,1143,Yelahanka
Sanjay Mehta,Honda,Nexon,1.2,Diesel,1996,174099,1969,Whitefield
Meera Nair,Honda,Baleno,2,Hybrid,1987,149266,2849,Indiranagar
Meera Mehta,Mahindra,Nexon,1.8,Hybrid,1996,232917,2026,Basavanagudi
Manoj Nair,Tata,City,2,Petrol,2005,86445,8765,Indiranagar
Suresh Dutta,Toyota,Creta,1.8,Diesel,2013,58638,22369,Hebbal
Ajay Joshi,Tata,Innova,1.2,Petrol,2003,45996,6537,Jayanagar
Vivek Pillai,Hyundai,Thar,1.2,Petrol,2016,46350,15120,Basavanagudi
Ananya Bhatia,Tata,Seltos,2.4,Petrol,1992,284104,1035,Koramangala
Suresh Deshmukh,Kia,Nexon,2,Diesel,2003,160094,5380,Yelahanka
Divya Nair,Honda,Seltos,2,Petrol,1995,230045,1646,Hebbal
Sanjay Deshmukh,Maruti,Swift,1.8,Diesel,1997,160499,3602,HSR Layout
Priya Kumar,Honda,Innova,1.8,Hybrid,1999,196507,3428,Basavanagudi
Deepak Pillai,Kia,Seltos,1.4,Hybrid,2018,32205,36677,Rajajinagar
Rohit Verma,Tata,Creta,1.4,Hybrid,2002,71273,7602,Indiranagar
Neha Joshi,Hyundai,Creta,2,Petrol,2015,43493,19071,Malleswaram
Kiran Joshi,Maruti,Thar,1.8,Petrol,2003,116000,5859,HSR Layout
Arjun Bhatia,Toyota,Swift,1.4,Diesel,2015,60061,21336,Whitefield
Kavya Kumar,Mahindra,City,2,Petrol,2017,60131,29039,Jayanagar
Manoj Dutta,Honda,Swift,1.4,Petrol,1995,156378,2593,Malleswaram
Sanjay Kumar,Toyota,Thar,1.6,Diesel,1993,148573,2716,Basavanagudi
Shalini Bhatia,Mahindra,Creta,3,Petrol,1991,204555,2249,Yelahanka
Pooja Reddy,Honda,i20,5,Petrol,2006,55096,43295,Basavanagudi
Deepak Patel,Maruti,Baleno,1.4,Hybrid,1993,146694,3089,Indiranagar
Arjun Rao,Hyundai,i20,1.4,Hybrid,2007,63699,13843,Whitefield
Sneha Iyer,Hyundai,i20,2.2,Hybrid,1999,246346,2843,Whitefield
Ananya Iyer,Tata,Baleno,1.4,Hybrid,1998,110439,4405,Koramangala
Vivek Mehta,Mahindra,i20,2,Diesel,2017,37610,38807,HSR Layout
Pooja Patel,Maruti,Seltos,1.2,Petrol,2010,64169,9051,Koramangala
Ravi Verma,Kia,i20,1.8,Petrol,1995,187129,2790,Yelahanka
Suresh Patel,Mahindra,Nexon,1.8,Hybrid,2003,106477,9336,Whitefield
Pooja Menon,Hyundai,Harrier,2,Hybrid,1988,191776,2126,Hebbal
Sneha Singh,Maruti,Harrier,2,Petrol,2008,74575,11621,Rajajinagar
Arjun Singh,Mahindra,Nexon,1,Diesel,1993,272312,723,Yelahanka
Aishwarya Menon,Maruti,Innova,4,Petrol,2007,46459,43687,Koramangala
Priya Mishra,Hyundai,Thar,1.4,Diesel,1984,156066,1323,Koramangala
Kiran Krishnan,Maruti,Seltos,4,Petrol,2005,117441,15685,HSR Layout
Ravi Deshmukh,Hyundai,Baleno,1.8,Hybrid,2001,193110,4035,Indiranagar
Kiran Mehta,Hyundai,Creta,3,Petrol,1990,242673,3030,Yelahanka
Arjun Reddy,Honda,Creta,1.6,Petrol,1999,152816,2663,Hebbal
Meera Reddy,Toyota,Baleno,2,Petrol,2011,77846,19150,Rajajinagar
Shalini Mehta,Kia,Baleno,1.2,Hybrid,1996,123980,3386,Indiranagar
Divya Rao,Hyundai,Baleno,1.8,Diesel,2006,76107,11827,Indiranagar
Sneha Mehta,Honda,Swift,1,Petrol,2015,48814,18440,Yelahanka
Shalini Kumar,Honda,Innova,1.8,Diesel,1999,125063,5184,HSR Layout
Deepak Pillai,Mahindra,i20,1.2,Petrol,1995,248873,740,Indiranagar
Manoj Iyer,Honda,Baleno,2,Petrol,1990,141684,2789,Jayanagar
Deepak Rao,Mahindra,Nexon,1.6,Diesel,2005,134693,6823,HSR Layout
Pooja Nair,Kia,Thar,1.2,Petrol,1994,227159,866,Indiranagar
Divya Bhatia,Mahindra,Swift,1,Petrol,1998,124714,2402,Whitefield
Manoj Sharma,Tata,City,2,Petrol,2012,66024,21108,Indiranagar
Neha Choudhary,Kia,Harrier,2,Diesel,2011,50235,20599,Jayanagar
Suresh Gupta,Kia,City,1.8,Petrol,2003,70156,8138,Koramangala
Aishwarya Dutta,Kia,Innova,2,Petrol,2005,125141,8643,Basavanagudi
Divya Pillai,Kia,Thar,1.8,Hybrid,1993,132625,3921,Whitefield
Suresh Bhatia,Mahindra,Swift,1.4,Hybrid,1996,174659,2989,Koramangala
Sanjay Sharma,Hyundai,Creta,1.8,Diesel,2006,100320,9966,Rajajinagar
Ananya Reddy,Toyota,Creta,2,Diesel,1995,181305,2637,Malleswaram
Kavya Reddy,Kia,i20,2.4,Petrol,2010,86293,17625,HSR Layout
Suresh Iyer,Toyota,Baleno,1.4,Diesel,1999,130354,4427,Hebbal
Kavya Rao,Honda,Innova,1.2,Hybrid,2005,107422,6653,Malleswaram
Meera Pillai,Toyota,Swift,1,Petrol,2011,76021,8374,Hebbal
Kavya Kumar,Maruti,Innova,1.4,Hybrid,2009,58631,13173,Basavanagudi
Ravi Pillai,Maruti,Thar,2,Diesel,1996,220373,1694,Hebbal
Arjun Bhatia,Honda,Baleno,1,Hybrid,1993,189982,1813,Koramangala
Deepak Rao,Toyota,Baleno,1.8,Petrol,1990,110955,2558,Hebbal
Shalini Mehta,Mahindra,Swift,2.2,Hybrid,2002,93641,12465,Indiranagar
Aishwarya Sharma,Honda,Swift,2.4,Hybrid,2013,34981,39794,Whitefield
Deepak Kumar,Maruti,i20,1.2,Petrol,2018,36996,18759,HSR Layout
Arjun Patel,Tata,i20,2,Diesel,1987,302008,542,HSR Layout
Neha Patel,Honda,Swift,1.2,Petrol,1993,229724,771,HSR Layout
Deepak Kumar,Hyundai,Baleno,1.6,Petrol,1991,246712,968,Indiranagar
Ananya Mehta,Toyota,City,4.4,Petrol,2011,100673,41486,Rajajinagar
Ajay Choudhary,Honda,Swift,1.8,Diesel,2008,123677,8095,Jayanagar
Meera Sharma,Hyundai,Swift,1.4,Petrol,2006,55354,7926,Malleswaram
Kiran Kumar,Kia,Nexon,1.4,Hybrid,2009,87684,14076,Koramangala
Divya Nair,Kia,Thar,2,Diesel,2010,104171,9523,Jayanagar
Aishwarya Bhatia,Tata,City,1.2,Petrol,1998,173142,1773,Hebbal
Neha Choudhary,Kia,Creta,1,Hybrid,2009,164066,5057,Hebbal
Suresh Joshi,Toyota,i20,2.2,Petrol,2015,49103,30133,HSR Layout
Shalini Patel,Honda,Swift,1.2,Petrol,1993,173014,1473,Jayanagar
Meera Kumar,Tata,City,1.8,Diesel,2006,83521,11872,Yelahanka
Neha Dutta,Toyota,Baleno,1,Hybrid,2003,146917,5077,Jayanagar
Kavya Rao,Honda,Swift,2,Petrol,2010,92020,9908,Indiranagar
Meera Kumar,Tata,City,2,Hybrid,1996,121790,5244,Basavanagudi
Vivek Choudhary,Honda,Baleno,3,Petrol,2007,105900,29865,Basavanagudi
Deepak Rao,Kia,Thar,1.8,Diesel,2007,93083,11226,Jayanagar
Rohit Bhatia,Toyota,i20,1.8,Hybrid,2014,73572,24558,Yelahanka
Shalini Iyer,Mahindra,Thar,1.4,Hybrid,2015,30546,23321,Malleswaram
Aishwarya Bhatia,Mahindra,Seltos,2.4,Petrol,2005,133154,9830,Koramangala
Pooja Verma,Mahindra,Innova,1.8,Petrol,2006,141192,6994,Whitefield
Pooja Mishra,Honda,Seltos,1,Hybrid,2009,73848,13091,Yelahanka
Meera Verma,Honda,i20,1.4,Petrol,2001,158881,3212,Indiranagar
Deepak Patel,Honda,Innova,1.6,Petrol,1993,154437,2605,Koramangala
Deepak Mishra,Hyundai,Innova,1,Petrol,1997,163029,1649,Rajajinagar
Kiran Pillai,Kia,Thar,1.4,Diesel,1999,138675,4338,Basavanagudi
Suresh Bhatia,Toyota,i20,1.8,Diesel,2020,18455,45304,Indiranagar
Kavya Patel,Toyota,Seltos,1,Petrol,2016,56111,12985,Basavanagudi
Ajay Verma,Mahindra,Thar,2,Diesel,2007,142926,8086,Hebbal
Aishwarya Bhatia,Honda,Creta,1.4,Petrol,2013,97338,9494,Malleswaram
Sanjay Joshi,Honda,Thar,1.2,Petrol,2016,40137,16113,Basavanagudi
Shalini Bhatia,Mahindra,Innova,2,Diesel,2004,138424,7252,Indiranagar
Pooja Pillai,Mahindra,Creta,1.2,Petrol,1991,234197,751,Indiranagar
Pooja Reddy,Toyota,i20,4,Petrol,1994,306614,2118,Whitefield
Kavya Iyer,Honda,Swift,2,Hybrid,2007,106847,15060,Jayanagar
Deepak Kumar,Mahindra,Creta,1,Petrol,2009,93180,6500,Basavanagudi
Aishwarya Reddy,Maruti,Nexon,2,Diesel,2012,78715,18269,Basavanagudi
Ravi Menon,Hyundai,Harrier,1.4,Petrol,1988,189199,856,Yelahanka
Kiran Gupta,Tata,Nexon,1,Petrol,2015,87374,9846,Hebbal
Ananya Menon,Maruti,Harrier,1,Petrol,2006,112429,4500,Indiranagar
Arjun Singh,Kia,i20,1.6,Petrol,2019,16468,26010,Yelahanka
Divya Patel,Maruti,Innova,1.6,Diesel,2008,116214,9534,Yelahanka
Arjun Pillai,Hyundai,City,1.6,Petrol,2007,139366,5063,Rajajinagar
Sneha Dutta,Kia,Seltos,2.4,Petrol,1993,194234,2651,Basavanagudi
Suresh Verma,Mahindra,i20,1.6,Petrol,2013,88165,16454,Indiranagar
Pooja Patel,Maruti,Thar,1.4,Diesel,1991,202472,1405,Koramangala
Priya Krishnan,Tata,Innova,2,Petrol,2001,121814,4356,HSR Layout
Neha Mishra,Toyota,Swift,2,Diesel,2004,137485,6916,Hebbal
Ajay Sharma,Tata,Nexon,1.8,Diesel,2001,157269,4573,Malleswaram
Suresh Nair,Toyota,Innova,1.8,Petrol,2011,57411,21903,Jayanagar
Shalini Pillai,Tata,Thar,1.4,Petrol,1988,263725,448,Rajajinagar
Neha Krishnan,Kia,Nexon,2,Petrol,2002,127888,5271,HSR Layout
Divya Menon,Tata,Creta,2,Petrol,2003,49995,12838,Koramangala
Neha Reddy,Tata,Innova,1.8,Diesel,2008,126736,9324,Whitefield
Ananya Mishra,Kia,Harrier,1.4,Petrol,1987,286352,382,Indiranagar
Aishwarya Singh,Hyundai,Swift,2,Diesel,1985,170625,1567,HSR Layout
Kiran Sharma,Kia,Thar,1.4,Petrol,2016,40561,16915,Basavanagudi
Divya Krishnan,Tata,Thar,1.6,Petrol,1995,167686,2138,Koramangala
Neha Krishnan,Toyota,Innova,1.8,Diesel,2015,68436,22692,HSR Layout
Kavya Pillai,Toyota,Baleno,1.4,Diesel,1994,333772,351,Jayanagar
Shalini Rao,Tata,i20,1.8,Diesel,2003,133414,6698,Indiranagar
Vivek Patel,Hyundai,Swift,1.2,Diesel,2013,53539,15138,Koramangala
Kiran Kumar,Kia,Nexon,1.4,Hybrid,1992,220555,1177,Indiranagar
Rohit Nair,Tata,Seltos,1.2,Diesel,1996,38895,5332,Malleswaram
Neha Verma,Toyota,Nexon,1.4,Diesel,2005,121625,7069,Basavanagudi
Shalini Menon,Maruti,Swift,1,Petrol,2002,159765,2365,Indiranagar
Priya Sharma,Honda,Innova,1,Hybrid,1997,188516,2397,Whitefield
Deepak Pillai,Hyundai,i20,2,Petrol,2019,21868,28232,Yelahanka
Sneha Iyer,Toyota,City,1.4,Petrol,1988,166704,1202,Rajajinagar
Shalini Dutta,Tata,Harrier,1.8,Petrol,2001,113724,5217,Rajajinagar
Vivek Gupta,Hyundai,Harrier,1.2,Hybrid,2003,104676,5942,Koramangala
Ananya Gupta,Maruti,Thar,1,Petrol,1986,204252,555,Hebbal
Ravi Krishnan,Hyundai,Swift,1.8,Diesel,1996,148721,3515,Malleswaram
Kiran Kumar,Mahindra,City,1.4,Petrol,2003,109081,6482,Hebbal
Manoj Dutta,Toyota,Harrier,1,Diesel,1991,229331,942,Malleswaram
Kavya Gupta,Maruti,Harrier,1.8,Hybrid,2003,124209,8158,Malleswaram
Arjun Singh,Honda,i20,1.4,Petrol,1999,135772,2786,HSR Layout
Sanjay Iyer,Kia,Innova,2,Petrol,2003,169588,3380,Hebbal
Rohit Pillai,Toyota,Creta,2,Diesel,1999,182999,3394,Malleswaram
Kavya Reddy,Toyota,Innova,1.8,Hybrid,2016,31926,35117,Rajajinagar
Kavya Mishra,Hyundai,Swift,2,Petrol,1997,167123,2313,Indiranagar
Ananya Sharma,Toyota,Nexon,2.4,Petrol,1994,73313,6633,Indiranagar
Kavya Nair,Honda,Seltos,1.4,Diesel,2014,74656,12826,Rajajinagar
Deepak Deshmukh,Mahindra,Swift,1.8,Hybrid,2014,21520,33842,HSR Layout
Pooja Sharma,Mahindra,Thar,2.4,Hybrid,1991,183361,3060,HSR Layout
Sanjay Bhatia,Honda,i20,1,Hybrid,1996,142707,2533,Malleswaram
Deepak Patel,Maruti,Creta,1.4,Diesel,2000,163901,2485,Koramangala
Arjun Joshi,Tata,City,2,Diesel,2004,108399,10128,Rajajinagar
Suresh Choudhary,Maruti,Harrier,1.6,Petrol,2010,79200,9696,Indiranagar
Ravi Singh,Hyundai,Baleno,1.4,Petrol,1994,144191,1915,HSR Layout
Ananya Mehta,Toyota,Seltos,1.6,Petrol,2007,99705,8145,Hebbal
Ajay Verma,Maruti,Swift,1.4,Petrol,2008,99200,6711,HSR Layout
Priya Sharma,Maruti,City,1,Petrol,2017,42765,17461,Indiranagar
Ravi Choudhary,Kia,Creta,2.4,Hybrid,2012,48226,34372,Jayanagar
Divya Reddy,Tata,Harrier,1.6,Petrol,1996,36316,5017,Whitefield
Neha Singh,Mahindra,Creta,1.4,Hybrid,1990,235605,899,Jayanagar
Pooja Reddy,Honda,Thar,1.8,Diesel,2012,60577,20667,Rajajinagar
Sanjay Bhatia,Toyota,Thar,1.4,Hybrid,2000,135959,5371,Jayanagar
Ajay Krishnan,Maruti,City,1.6,Petrol,1999,157210,3628,Koramangala
Arjun Dutta,Honda,Baleno,2,Petrol,2008,90452,12389,HSR Layout
Deepak Mehta,Maruti,Creta,1.4,Petrol,2022,6422,35355,Basavanagudi
Ravi Joshi,Maruti,Thar,1.8,Hybrid,2014,73286,24605,Whitefield
Priya Bhatia,Honda,Baleno,4.4,Petrol,2007,136235,24205,HSR Layout
Meera Mehta,Tata,Seltos,1,Diesel,2018,15963,19734,Koramangala
Neha Verma,Toyota,Innova,2,Petrol,1988,284677,829,HSR Layout
Kavya Pillai,Mahindra,i20,3,Petrol,2013,50874,64970,HSR Layout
Pooja Iyer,Kia,i20,1,Diesel,2018,32382,26100,Yelahanka
Divya Patel,Mahindra,Swift,2.2,Petrol,2000,135015,12820,Yelahanka
Pooja Kumar,Tata,Nexon,2.6,Petrol,1992,193781,3356,Whitefield
Neha Menon,Tata,Innova,1,Petrol,1986,242364,393,Malleswaram
Suresh Mishra,Tata,i20,2,Diesel,1997,161983,3550,Yelahanka
Suresh Iyer,Tata,Swift,1.8,Hybrid,2012,52102,29057,Malleswaram
Vivek Sharma,Tata,Innova,2,Diesel,2011,49387,21878,Koramangala
Suresh Pillai,Tata,Innova,2,Hybrid,2020,15249,64728,Yelahanka
Neha Mishra,Tata,Seltos,1.4,Diesel,2015,45552,24470,Yelahanka
Ananya Deshmukh,Kia,Thar,2.6,Petrol,2015,41400,49166,Malleswaram
Aishwarya Bhatia,Toyota,Creta,1.6,Diesel,2007,134293,6569,Rajajinagar
Kavya Joshi,Kia,City,2,Petrol,1998,98486,4249,Hebbal
Rohit Choudhary,Honda,Thar,2,Petrol,2005,82637,10716,Whitefield
Deepak Krishnan,Mahindra,Creta,1.4,Petrol,2013,79229,12496,Rajajinagar
Sanjay Joshi,Hyundai,Seltos,2,Diesel,2019,30158,39601,HSR Layout
Sneha Deshmukh,Hyundai,Baleno,1.6,Petrol,2015,24969,26611,Rajajinagar
Ananya Mehta,Hyundai,Nexon,1.4,Petrol,1997,174532,1771,Indiranagar
Sneha Nair,Honda,Seltos,1.4,Petrol,1991,94298,2297,Koramangala
Meera Verma,Toyota,Thar,1.6,Diesel,1990,172081,1829,Koramangala
Ajay Bhatia,Honda,Harrier,2,Petrol,2002,136638,4145,Whitefield
Meera Gupta,Mahindra,Nexon,2,Petrol,1988,223075,1099,Indiranagar
Pooja Menon,Honda,Nexon,1.8,Diesel,2021,7767,48523,HSR Layout
Shalini Menon,Kia,Creta,1.4,Hybrid,2012,72537,19087,Indiranagar
Divya Reddy,Honda,Seltos,2.4,Petrol,2014,46078,29997,Yelahanka
Sanjay Verma,Maruti,Swift,2,Petrol,2013,59649,21118,Basavanagudi
Ravi Sharma,Honda,Baleno,1.8,Hybrid,2003,131281,9073,Malleswaram
Meera Mehta,Mahindra,i20,3,Diesel,2012,75701,26713,Rajajinagar
Sanjay Iyer,Mahindra,Creta,1.2,Petrol,2007,136332,4377,Rajajinagar
Manoj Reddy,Toyota,Nexon,1,Hybrid,2019,22259,35059,Whitefield
Kavya Nair,Tata,Nexon,1,Petrol,1994,317754,329,HSR Layout
Neha Nair,Honda,Creta,1,Hybrid,2000,210119,2421,HSR Layout
Deepak Reddy,Kia,Creta,5,Petrol,2019,8199,135074,HSR Layout
Divya Joshi,Honda,i20,2,Petrol,2019,21357,28312,Whitefield
Deepak Iyer,Hyundai,Baleno,1.4,Hybrid,1993,192811,2093,Malleswaram
Ananya Rao,Toyota,Swift,1.4,Diesel,1998,47828,7769,Yelahanka
Shalini Sharma,Toyota,City,2,Petrol,1993,111830,3273,Basavanagudi
Kavya Dutta,Toyota,Baleno,1.2,Petrol,2017,55790,15637,Jayanagar
Shalini Mehta,Hyundai,Thar,1.2,Hybrid,2012,77923,13104,Jayanagar
Sneha Bhatia,Maruti,Creta,1,Hybrid,2019,18739,27497,Jayanagar
Priya Reddy,Tata,Seltos,1.6,Diesel,1998,180083,2912,Jayanagar
Neha Verma,Toyota,Swift,2,Petrol,2003,126897,4785,Basavanagudi
Kavya Sharma,Tata,Seltos,1,Hybrid,1996,158870,2885,Jayanagar
Vivek Deshmukh,Tata,Harrier,2.4,Hybrid,1992,173681,3553,Yelahanka
Neha Gupta,Honda,Innova,1,Petrol,2017,26050,24113,Basavanagudi
Meera Pillai,Toyota,Baleno,1.2,Petrol,2021,15118,30767,Indiranagar
Shalini Mehta,Tata,Swift,1.6,Diesel,2001,172788,3999,Koramangala
Ananya Kumar,Maruti,Creta,2,Diesel,2009,118097,9521,Malleswaram
Arjun Joshi,Mahindra,City,1.8,Hybrid,2012,52879,28915,Yelahanka
Manoj Dutta,Toyota,Thar,1.6,Diesel,1998,139489,4311,HSR Layout
